"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"Porsche","Cayenne","Grey",18299,137600,2009,"Automatic",4806,"Petrol",14.9,"4x4","Germany","https://carvago.com/car/51877202/porsche-cayenne-368-kw","14/09/2022","51877202",368,500,13
"BMW","320","Grey",35099,30562,2021,"Automatic",1995,"Diesel",4,"4x2","Germany","https://carvago.com/car/51801562/bmw-320-d-140-kw","14/09/2022","51801562",140,190,1
"Audi","Q3","Gold",41849,52484,2021,"Automatic",1968,"Diesel",5.2,"4x4","France","https://carvago.com/car/51164226/audi-q3-147-kw","14/09/2022","51164226",147,200,1
"Mazda","CX-5","Blue",26599,7395,2021,"Automatic",2488,"Petrol",7,"4x2","Poland","https://carvago.com/car/51880630/mazda-cx-5-194-automatic-143-kw","14/09/2022","51880630",143,194,1
"BMW","120","Red",25299,11320,2019,"Automatic",1995,"Diesel",5,"4x4","Sweden","https://carvago.com/car/50845167/bmw-120-140-kw","14/09/2022","50845167",140,190,3
"Volkswagen","Passat","Silver",22099,28000,2020,"Automatic",1395,"Petrol",5,"4x2","Poland","https://carvago.com/car/51649054/volkswagen-passat-115-kw","14/09/2022","51649054",115,156,2
"Skoda","Octavia","Red",4899,169000,2009,"Manual",1598,"Petrol",7.3,"4x2","Germany","https://carvago.com/car/51802370/skoda-octavia-1-6-75-kw","14/09/2022","51802370",75,102,13
"Infiniti","QX70","Black",33549,20300,2017,"Automatic",5026,"Petrol",13.5,"4x4","Germany","https://carvago.com/car/49606682/infiniti-qx70-5-0-awd-s-premium-287-kw","14/09/2022","49606682",287,390,5
"Land Rover","Range Rover Evoque","Black",47649,4999,2021,"Automatic",1997,"Diesel",6,"4x4","Poland","https://carvago.com/car/46194147/land-rover-range-rover-evoque-120-kw","14/09/2022","46194147",120,163,1
"Audi","A5","White",33449,48780,2020,"Automatic",1984,"Petrol",6.5,"4x4","Sweden","https://carvago.com/car/51841804/audi-a5-coupe-45-tfsi-quattro-180-kw","14/09/2022","51841804",180,245,2
"Dodge","RAM","Black",63699,0,2022,"Automatic",5700,"LPG",12.8,"4x4","Germany","https://carvago.com/car/51343610/dodge-ram-295-kw","14/09/2022","51343610",295,401,0
"Volkswagen","T5 Transporter","White",15849,155255,2015,"Automatic",1968,"Diesel",8,"4x2","Belgium","https://carvago.com/car/51822486/volkswagen-t5-transporter-dsg-doka-long-100-kw","14/09/2022","51822486",100,136,7
"Audi","A3","Black",8099,111103,2010,"Manual",1395,"Petrol",6.1,"4x2","Germany","https://carvago.com/car/49998106/audi-a3-1-4-tfsi-attraction-92-kw","14/09/2022","49998106",92,125,12
"Audi","A5","Grey",46149,3500,2021,"Automatic",1968,"Diesel",5,"4x2","Germany","https://carvago.com/car/51759667/audi-a5-150-kw","14/09/2022","51759667",150,204,1
"Mercedes-Benz","E 220","Black",48399,7000,2021,"Automatic",1950,"Diesel",5,"4x4","Poland","https://carvago.com/car/51704564/mercedes-benz-e-220-d-4matic-143-kw","14/09/2022","51704564",143,194,1
"BMW","318 Gran Turismo","Black",37149,498,2022,"Automatic",1995,"Diesel",5,"4x2","France","https://carvago.com/car/51859537/bmw-318-gran-turismo-d-advantage-110-kw","14/09/2022","51859537",110,150,0
